year,county,race,population,misdemeanor,felony,arrest_count
2006,Kern,All Combined,786219,1.407712467,1.404341927,47262
2006,Kern,Black,43677,2.730063647,3.901628223,5832
2006,Kern,White,335196,1.196929989,1.140434193,16927
2006,Kern,Hispanic,356862,1.409958817,1.491180461,21970
2006,Kern,Asian/Pacific Islander,31096,0.287907151,0.314111262,393
2006,Kings,All Combined,147495,2.034069637,1.008819539,10995
2006,Kings,Black,11286,2.285660801,1.376526459,987
2006,Kings,White,57524,1.547734931,0.804613297,3257
2006,Kings,Hispanic,69525,2.524522651,1.168249661,6396
2006,Kings,Asian/Pacific Islander,5046,0.578809435,0.403663501,112
2006,Lake,All Combined,63791,1.746162486,1.39348711,4292
2006,Lake,Black,1246,4.146387121,4.90027137,228
2006,Lake,White,49198,1.678771996,1.366350068,3202
2006,Lake,Hispanic,9341,1.571321602,1.046132972,537
2006,Lassen,All Combined,35013,0.93260951,0.569877883,1170
2006,Lassen,White,23926,1.087607638,0.649253731,928
2006,Lassen,Hispanic,5821,0.533882441,0.349389417,113
2006,Los Angeles,All Combined,9787326,0.873455635,1.018317503,390829
2006,Los Angeles,Black,866934,2.192062898,3.364993216,96482
2006,Los Angeles,White,2880484,0.712841632,0.60312076,82092
2006,Los Angeles,Hispanic,4568129,0.903406964,1.067164179,192761
2006,Los Angeles,Asian/Pacific Islander,1288539,0.121302883,0.101085482,6255
2006,Madera,All Combined,143526,0.954324223,0.913839891,5602
2006,Madera,Black,5258,1.181954324,1.49660787,282
2006,Madera,White,60099,0.606888806,0.717774763,1617
2006,Madera,Hispanic,71694,1.274054661,1.075305292,3579
2006,Madera,Asian/Pacific Islander,2424,0.555971546,0.475576662,53
2006,Marin,All Combined,247245,0.869711718,0.544097693,7765
2006,Marin,Black,6777,3.712467241,3.803934871,1068
2006,Marin,White,187039,0.678023212,0.375169607,4440
2006,Marin,Hispanic,34005,1.57319356,0.963364993,1912
2006,Marin,Asian/Pacific Islander,12934,0.422688132,0.236092266,192
2006,Mariposa,All Combined,18246,1.378884313,0.751017639,881
2006,Mariposa,White,15383,1.367652565,0.701492537,726
2006,Mariposa,Hispanic,1511,1.486709098,1.122795115,86
2006,Mendocino,All Combined,87584,1.801946836,1.366350068,6005
2006,Mendocino,Black,503,5.954698615,10.25033921,156
2006,Mendocino,White,62871,1.798951703,1.257123474,4197
2006,Mendocino,Hispanic,17265,1.429052789,1.210312076,975
2006,Mendocino,Asian/Pacific Islander,1311,1.48483714,0.879918589,70
2006,Merced,All Combined,245556,1.677274429,1.478968792,17027
2006,Merced,Black,8639,4.962186447,4.641112619,1826
2006,Merced,White,87980,1.428678398,1.298507463,5231
2006,Merced,Hispanic,125667,1.821040809,1.55834464,9354
2006,Merced,Asian/Pacific Islander,18010,0.569449644,0.58412483,466
2006,Modoc,All Combined,9641,1.242605766,1.259837178,499
2006,Modoc,White,7736,1.200299513,1.306648575,397
2006,Modoc,Hispanic,1219,0.921377761,0.667571235,42
2006,Mono,All Combined,14152,1.013103706,0.925373134,576
2006,Mono,White,10177,1.092474729,0.820217096,420
2006,Mono,Hispanic,3236,0.763758892,1.111261872,119
2006,Monterey,All Combined,405877,1.092474729,0.863636364,17363
2006,Monterey,Black,12174,1.992886559,2.189959294,1057
2006,Monterey,White,146601,0.906776488,0.607869742,4942
2006,Monterey,Hispanic,211319,1.288281542,1.05834464,10808
2006,Monterey,Asian/Pacific Islander,25621,0.384500187,0.357530529,416
2006,Napa,All Combined,131921,1.047173343,0.778154681,5243
2006,Napa,Black,2057,2.675402471,3.52917232,254
2006,Napa,White,82022,0.870834893,0.624151967,2672
2006,Napa,Hispanic,37772,1.366903781,1.07394844,2008
2006,Napa,Asian/Pacific Islander,7015,0.37364283,0.357530529,107
2006,Nevada,All Combined,98333,0.982403594,0.668249661,3654
2006,Nevada,Black,316,4.620741295,4.508819539,60
2006,Nevada,White,86599,0.986521902,0.677747626,3239
2006,Nevada,Hispanic,7472,1.022089105,0.544776119,276
2006,Nevada,Asian/Pacific Islander,1128,1.028828154,0.962008141,48
2006,Orange,All Combined,2955432,0.841257956,0.679782904,97714
2006,Orange,Black,44327,2.728940472,2.495929444,4916
2006,Orange,White,1405489,0.804567578,0.554274084,42351
2006,Orange,Hispanic,961381,1.074878323,1.00339213,42639
2006,Orange,Asian/Pacific Islander,478210,0.268064395,0.237449118,5161
2006,Placer,All Combined,322269,0.85623362,0.937584803,11863
2006,Placer,Black,3659,2.394234369,5.172998643,514
2006,Placer,White,254449,0.847622613,0.864993216,9029
2006,Placer,Hispanic,37510,1.116810183,1.316824966,1860
2006,Placer,Asian/Pacific Islander,16381,0.29239985,0.451153324,237
2006,Plumas,All Combined,20709,1.67053538,1.372455902,1386
2006,Plumas,Black,165,4.991763385,5.756445047,37
2006,Plumas,White,18012,1.629726694,1.306648575,1168
2006,Plumas,Hispanic,1422,1.395357544,1.526458616,89
2006,Riverside,All Combined,2017350,0.688131786,0.926729986,66083
2006,Riverside,Black,121701,1.151628604,2.259158752,7978
2006,Riverside,White,880644,0.61475103,0.7421981,24545
2006,Riverside,Hispanic,857059,0.768251591,1.031207598,31390
2006,Riverside,Asian/Pacific Islander,111320,0.162111569,0.182496608,789
2006,Sacramento,All Combined,1372276,0.887682516,1.236092266,58045
2006,Sacramento,Black,135243,2.526769,4.495929444,18314
2006,Sacramento,White,723155,0.725945339,0.846675712,23166
2006,Sacramento,Hispanic,264232,1.001871958,1.345997286,12434
2006,Sacramento,Asian/Pacific Islander,189833,0.288281542,0.478968792,2828
2006,San Benito,All Combined,54896,0.97454137,0.857530529,2136
2006,San Benito,White,22681,0.779108948,0.732700136,727
